term,estimate,se,z,p,ci_lo,ci_hi,model
(Intercept),-2.5541206768846783,0.15945123237737155,-16.018193392446587,9.538144604828552e-58,-2.8666393496348532,-2.2416020041345033,surge_unadjusted
public_share,0.5122192295863844,0.13297507032980005,3.851994425090331,1.1715969091199458e-4,0.2515928808982957,0.7728455782744732,surge_unadjusted
lat_sc,-0.10017209266358942,0.037701228984387256,-2.656998070409653,0.007883989428371868,-0.17406514364588604,-0.026279041681292817,surge_unadjusted
logdens_sc,0.05274128652146495,0.021670485321106756,2.433784280322308,0.014941897061632462,0.010267915764591816,0.09521465727833808,surge_unadjusted
pct_urban_notif,0.19193589030056324,0.11366550998186285,1.6886027285778216,0.09129558743946511,-0.03084441554826592,0.41471619614939237,surge_unadjusted
regionEast,0.09997855691847127,0.056161659710790096,1.7801923488963918,0.0750444871207004,-0.010096273426671479,0.210053387263614,surge_unadjusted
regionNorth,0.32846570584457935,0.05974565206460814,5.497734052502782,3.8470252764482e-8,0.2113663795650863,0.4455650321240724,surge_unadjusted
regionNortheast,0.276773983942344,0.06814153900498249,4.061751289798523,4.870595206558841e-5,0.14321902164144704,0.4103289462432409,surge_unadjusted
regionOther,0.10421567658873672,0.20990313207804573,0.4964941473573985,0.6195458155835816,-0.3071869025263869,0.5156182557038603,surge_unadjusted
regionSouth,-0.06981202856302757,0.09007102284644532,-0.7750775594282343,0.438293830885919,-0.24634798939274474,0.10672393226668961,surge_unadjusted
regionWest,-0.022060593192803,0.07193947803813955,-0.30665489651047123,0.7591060640103116,-0.1630593792141667,0.11893819282856068,surge_unadjusted
lognotif_sc,0.21937284336367827,0.028979439431385548,7.569947786018639,3.7337427071016614e-14,0.1625741857860027,0.27617150094135384,surge_unadjusted
(Intercept),-2.573997426881496,0.17711534861809528,-14.532887448572705,7.499153675510488e-48,-2.9211371312822183,-2.2268577224807733,surge_unadjusted_restricted
public_share,0.5033232448787431,0.14511333344152816,3.468483790854076,5.234041004268678e-4,0.21890633765679618,0.7877401521006901,surge_unadjusted_restricted
lat_sc,-0.1195357632779453,0.046001336231981965,-2.59852806612255,0.009362439110463666,-0.2096967255333474,-0.02937480102254318,surge_unadjusted_restricted
logdens_sc,0.04562742664602831,0.025100089503372423,1.8178192806801687,0.06909175874245556,-0.0035678447893134763,0.0948226980813701,surge_unadjusted_restricted
pct_urban_notif,0.2152182623756612,0.12439161624122329,1.7301669427488153,0.08360045266662901,-0.028584825435864047,0.45902135018718643,surge_unadjusted_restricted
regionEast,0.10956091879776361,0.05988706887602033,1.8294586937386985,0.06733092183111085,-0.007815579338905823,0.22693741693443303,surge_unadjusted_restricted
regionNorth,0.35565279645311415,0.06387756958949506,5.567725865882079,2.5808542694866988e-8,0.23045506063775287,0.4808505322684754,surge_unadjusted_restricted
regionNortheast,0.30860554048064354,0.07526587222859374,4.100205462887113,4.127834935497058e-5,0.16108714164760637,0.45612393931368067,surge_unadjusted_restricted
regionOther,0.17397741716336834,0.30060416509561105,0.5787591702464687,0.56275168457005,-0.41519592002676164,0.7631507543534983,surge_unadjusted_restricted
regionSouth,-0.09636652631353754,0.1254788106489749,-0.7679904345214226,0.4424928677903717,-0.34230047600844926,0.14956742338137421,surge_unadjusted_restricted
regionWest,-0.05014045840998798,0.07964876651613102,-0.6295195845855716,0.5290089512397453,-0.20624917219464456,0.10596825537466859,surge_unadjusted_restricted
lognotif_sc,0.22969269163216605,0.032719206598259734,7.020118013631263,2.2168092334250503e-12,0.1655642250968517,0.2938211581674804,surge_unadjusted_restricted
(Intercept),-2.5720810664110294,0.1770198710112908,-14.529900240673971,7.83344299829375e-48,-2.919033638141085,-2.2251284946809737,surge_adjusted_sociodem
public_share,0.507422954958153,0.14725941838343679,3.445775900302117,5.694223612388191e-4,0.21879979854230147,0.7960461113740046,surge_adjusted_sociodem
lat_sc,-0.09924850082916475,0.04874838558559524,-2.0359341060617995,0.04175697248259648,-0.19479358088140292,-0.0037034207769266053,surge_adjusted_sociodem
logdens_sc,0.026041971358824013,0.029095076477441965,0.8950645439620999,0.37075258609600775,-0.03098333066440073,0.08306727338204875,surge_adjusted_sociodem
pct_urban_notif,0.22770931420460358,0.1244219989460883,1.8301370829387607,0.0672294430522937,-0.016153322614209986,0.47157195102341715,surge_adjusted_sociodem
regionEast,0.12253066510634254,0.06018593552111439,2.0358687465006904,0.041763536908623576,0.004568399109108431,0.24049293110357667,surge_adjusted_sociodem
regionNorth,0.3179030372414333,0.06689775982758309,4.75207298511596,2.013416638730499e-6,0.18678583733296003,0.4490202371499066,surge_adjusted_sociodem
regionNortheast,0.2685648577273693,0.07904564920303465,3.397591903351194,6.798174926010018e-4,0.1136382321548342,0.42349148329990444,surge_adjusted_sociodem
regionOther,0.12368169171392432,0.30962686144336526,0.39945401099041045,0.6895587035740172,-0.48317580536124494,0.7305391887890935,surge_adjusted_sociodem
regionSouth,-0.10659193742276796,0.13047437147795332,-0.81695689517676,0.41395306177711705,-0.3623170064250565,0.14913313157952057,surge_adjusted_sociodem
regionWest,-0.09204251081134747,0.08301463086131113,-1.1087504679159368,0.2675378436952759,-0.2547481974894045,0.07066317586670957,surge_adjusted_sociodem
lognotif_sc,0.2363316172386266,0.03307818984656145,7.144635735355809,9.023485390389713e-13,0.17149955646558768,0.30116367801166555,surge_adjusted_sociodem
literacy_sc,0.045920509755996895,0.02300272172883799,1.9963076672977962,0.04590044399075822,8.360036210775176e-4,0.09100501589091628,surge_adjusted_sociodem
scst_sc,8.945190314775397e-4,0.02671161173161942,0.033488021631381676,0.9732854178290983,-0.0514592779315141,0.05324831599446918,surge_adjusted_sociodem
