dist_lgd,n_months,n_raw_surges,n_raw_dips,sign_flip_rate,surge_artefact_rate,dip_artefact_rate,surge_artefact_among_surges,dip_artefact_among_dips,method,n_complete,med_total
1,52,18,19,0.34615384615384615,0.07692307692307693,0.15384615384615385,0.2222222222222222,0.42105263157894735,STL,52,30
2,52,20,26,0.28846153846153844,0.09615384615384616,0.19230769230769232,0.25,0.38461538461538464,STL,52,7
3,52,18,24,0.28846153846153844,0.11538461538461539,0.23076923076923078,0.3333333333333333,0.5,STL,52,33
4,52,18,17,0.2692307692307692,0.15384615384615385,0.15384615384615385,0.4444444444444444,0.47058823529411764,STL,52,40
5,52,15,12,0.36538461538461536,0.23076923076923078,0.17307692307692307,0.8,0.75,STL,52,318.5
6,52,22,25,0.23076923076923078,0.09615384615384616,0.15384615384615385,0.22727272727272727,0.32,STL,52,9
7,52,15,14,0.2692307692307692,0.15384615384615385,0.11538461538461539,0.5333333333333333,0.42857142857142855,STL,52,98.5
8,52,19,23,0.23076923076923078,0.11538461538461539,0.15384615384615385,0.3157894736842105,0.34782608695652173,STL,52,27.5
9,52,23,22,0.19230769230769232,0.17307692307692307,0.057692307692307696,0.391304347826087,0.13636363636363635,STL,52,15
10,52,16,19,0.28846153846153844,0.1346153846153846,0.11538461538461539,0.4375,0.3157894736842105,STL,52,39
11,52,19,27,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.21052631578947367,0.2962962962962963,STL,52,11
12,52,21,18,0.17307692307692307,0.15384615384615385,0.057692307692307696,0.38095238095238093,0.16666666666666666,STL,52,58
13,52,12,23,0.28846153846153844,0.09615384615384616,0.25,0.4166666666666667,0.5652173913043478,STL,52,117
14,52,17,18,0.21153846153846154,0.11538461538461539,0.15384615384615385,0.35294117647058826,0.4444444444444444,STL,52,75
15,52,17,13,0.17307692307692307,0.09615384615384616,0.038461538461538464,0.29411764705882354,0.15384615384615385,STL,52,63.5
16,52,16,16,0.3076923076923077,0.07692307692307693,0.11538461538461539,0.25,0.375,STL,52,88.5
17,52,17,20,0.23076923076923078,0.1346153846153846,0.1346153846153846,0.4117647058823529,0.35,STL,52,71.5
18,52,17,15,0.36538461538461536,0.2692307692307692,0.21153846153846154,0.8235294117647058,0.7333333333333333,STL,52,254
19,52,24,24,0.17307692307692307,0.07692307692307693,0.07692307692307693,0.16666666666666666,0.16666666666666666,STL,52,7
20,52,17,18,0.21153846153846154,0.038461538461538464,0.057692307692307696,0.11764705882352941,0.16666666666666666,STL,52,103
21,30,12,13,0.2,0,0.06666666666666667,0,0.15384615384615385,simple,51,1
22,52,16,16,0.34615384615384615,0.19230769230769232,0.21153846153846154,0.625,0.6875,STL,52,182
23,52,11,9,0.3269230769230769,0.15384615384615385,0.09615384615384616,0.7272727272727273,0.5555555555555556,STL,52,182.5
24,52,15,15,0.23076923076923078,0.19230769230769232,0.1346153846153846,0.6666666666666666,0.4666666666666667,STL,52,79.5
25,52,15,13,0.36538461538461536,0.17307692307692307,0.11538461538461539,0.6,0.46153846153846156,STL,52,166
26,52,19,15,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.3684210526315789,0.4666666666666667,STL,52,63
27,52,10,12,0.5192307692307693,0.1346153846153846,0.15384615384615385,0.7,0.6666666666666666,STL,52,678.5
28,52,14,13,0.28846153846153844,0.17307692307692307,0.15384615384615385,0.6428571428571429,0.6153846153846154,STL,52,265
29,52,18,17,0.28846153846153844,0.23076923076923078,0.17307692307692307,0.6666666666666666,0.5294117647058824,STL,52,175.5
30,52,17,17,0.2692307692307692,0.1346153846153846,0.15384615384615385,0.4117647058823529,0.47058823529411764,STL,52,47
31,52,12,14,0.3269230769230769,0.09615384615384616,0.15384615384615385,0.4166666666666667,0.5714285714285714,STL,52,123
32,52,17,15,0.2692307692307692,0.17307692307692307,0.15384615384615385,0.5294117647058824,0.5333333333333333,STL,52,164
33,52,17,19,0.3269230769230769,0.23076923076923078,0.23076923076923078,0.7058823529411765,0.631578947368421,STL,52,160
34,52,12,9,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.6666666666666666,0.4444444444444444,STL,52,437.5
35,52,19,17,0.23076923076923078,0.17307692307692307,0.1346153846153846,0.47368421052631576,0.4117647058823529,STL,52,79
36,52,11,10,0.4807692307692308,0.15384615384615385,0.17307692307692307,0.7272727272727273,0.9,STL,52,969.5
37,52,16,17,0.25,0.19230769230769232,0.11538461538461539,0.625,0.35294117647058826,STL,52,71
38,52,16,17,0.3076923076923077,0.17307692307692307,0.15384615384615385,0.5625,0.47058823529411764,STL,52,105
39,52,15,18,0.3076923076923077,0.19230769230769232,0.21153846153846154,0.6666666666666666,0.6111111111111112,STL,52,104.5
40,52,19,16,0.21153846153846154,0.1346153846153846,0.15384615384615385,0.3684210526315789,0.5,STL,52,56
41,52,11,10,0.4423076923076923,0.17307692307692307,0.15384615384615385,0.8181818181818182,0.8,STL,52,520.5
42,52,20,14,0.25,0.25,0.11538461538461539,0.65,0.42857142857142855,STL,52,75
43,52,13,15,0.23076923076923078,0.09615384615384616,0.09615384615384616,0.38461538461538464,0.3333333333333333,STL,52,168.5
44,52,13,14,0.3076923076923077,0.17307692307692307,0.21153846153846154,0.6923076923076923,0.7857142857142857,STL,52,526.5
45,52,19,15,0.23076923076923078,0.1346153846153846,0.07692307692307693,0.3684210526315789,0.26666666666666666,STL,52,52
46,52,21,23,0.15384615384615385,0.11538461538461539,0.09615384615384616,0.2857142857142857,0.21739130434782608,STL,52,27
47,52,21,21,0.23076923076923078,0.17307692307692307,0.23076923076923078,0.42857142857142855,0.5714285714285714,STL,52,36
48,52,18,23,0.23076923076923078,0.19230769230769232,0.19230769230769232,0.5555555555555556,0.43478260869565216,STL,52,26
49,52,13,7,0.38461538461538464,0.19230769230769232,0.07692307692307693,0.7692307692307693,0.5714285714285714,STL,52,694.5
50,52,15,11,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.8,0.7272727272727273,STL,52,531.5
51,52,9,9,0.46153846153846156,0.11538461538461539,0.057692307692307696,0.6666666666666666,0.3333333333333333,STL,52,284.5
52,52,14,15,0.28846153846153844,0.17307692307692307,0.17307692307692307,0.6428571428571429,0.6,STL,52,111.5
53,52,17,18,0.25,0.07692307692307693,0.11538461538461539,0.23529411764705882,0.3333333333333333,STL,52,46
54,52,23,20,0.21153846153846154,0.21153846153846154,0.09615384615384616,0.4782608695652174,0.25,STL,52,26
55,52,18,19,0.25,0.17307692307692307,0.1346153846153846,0.5,0.3684210526315789,STL,52,41
56,52,14,11,0.40384615384615385,0.15384615384615385,0.09615384615384616,0.5714285714285714,0.45454545454545453,STL,52,388
57,52,17,20,0.17307692307692307,0.09615384615384616,0.11538461538461539,0.29411764705882354,0.3,STL,52,45
58,52,15,14,0.28846153846153844,0.17307692307692307,0.1346153846153846,0.6,0.5,STL,52,264
59,52,11,10,0.36538461538461536,0.11538461538461539,0.11538461538461539,0.5454545454545454,0.6,STL,52,243.5
