analysis,variant,quantity,value
A_STL_spec,multiplicative_log,amp_pct_private,14.365396
A_STL_spec,multiplicative_log,peak_month_num_private,5
A_STL_spec,multiplicative_log,amp_pct_public,22.160526
A_STL_spec,multiplicative_log,peak_month_num_public,5
A_STL_spec,multiplicative_log,amp_pct_total,18.961374
A_STL_spec,multiplicative_log,peak_month_num_total,5
A_STL_spec,additive_raw,amp_pct_total,20.676613
A_STL_spec,additive_raw,peak_month_num_total,5
A_STL_spec,additive_raw,amp_pct_public,22.537823
A_STL_spec,additive_raw,peak_month_num_public,5
A_STL_spec,additive_raw,amp_pct_private,16.008791
A_STL_spec,additive_raw,peak_month_num_private,5
B_climate_lag,lag0,campaign_RR_public,1.095373
B_climate_lag,lag0,campaign_pval_public,0
B_climate_lag,lag0,campaign_RR_private,0.969734
B_climate_lag,lag0,campaign_pval_private,0.007098
B_climate_lag,lag0,q_end_RR_public,1.017081
B_climate_lag,lag0,q_end_pval_public,0
B_climate_lag,lag0,q_end_RR_private,1.007324
B_climate_lag,lag0,q_end_pval_private,0.188517
B_climate_lag,lag3,campaign_RR_public,1.082228
B_climate_lag,lag3,campaign_pval_public,0
B_climate_lag,lag3,campaign_RR_private,0.980596
B_climate_lag,lag3,campaign_pval_private,0.092009
B_climate_lag,lag3,q_end_RR_public,1.029424
B_climate_lag,lag3,q_end_pval_public,0
B_climate_lag,lag3,q_end_RR_private,1.015646
B_climate_lag,lag3,q_end_pval_private,0.00412
C_wd_offset,main_wd_offset,campaign_RR_public,1.082228
C_wd_offset,main_wd_offset,campaign_pval_public,0
C_wd_offset,main_wd_offset,campaign_RR_private,0.980596
C_wd_offset,main_wd_offset,campaign_pval_private,0.092009
C_wd_offset,main_wd_offset,q_end_RR_public,1.029424
C_wd_offset,main_wd_offset,q_end_pval_public,0
C_wd_offset,main_wd_offset,q_end_RR_private,1.015646
C_wd_offset,main_wd_offset,q_end_pval_private,0.00412
C_wd_offset,wd_as_covariate,campaign_RR_public,1.079988
C_wd_offset,wd_as_covariate,campaign_pval_public,0
C_wd_offset,wd_as_covariate,campaign_RR_private,0.977435
C_wd_offset,wd_as_covariate,campaign_pval_private,0.048773
C_wd_offset,wd_as_covariate,q_end_RR_public,1.027767
C_wd_offset,wd_as_covariate,q_end_pval_public,0
C_wd_offset,wd_as_covariate,q_end_RR_private,1.012872
C_wd_offset,wd_as_covariate,q_end_pval_private,0.017496
D_payoff,STL_main,pct_sign_flip,29.480025
D_payoff,STL_main,pct_surge_artefact,46.857823
D_payoff,simple_index_all,pct_sign_flip,28.176176
D_payoff,simple_index_all,pct_surge_artefact,41.681935
